device_id,date,city,timestamp,longitude,latitude,duration_hours
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:46+03:00,39.2847,-6.79637,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:18:34+03:00,39.28474,-6.79641,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:37+03:00,39.2847,-6.79638,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:14+03:00,39.2847,-6.7963,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:59:58+03:00,35.75333,-6.18006,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:00+03:00,35.75322,-6.18008,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:14+03:00,35.75338,-6.18014,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:15+03:00,35.75328,-6.18017,-4.31
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:23+03:00,35.75331,-6.18016,-4.31
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 19:15:34+03:00,39.2686,-6.8135,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 16:00:42+03:00,39.2686005,-6.8134999,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 16:00:48+03:00,39.2686316,-6.813485,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 19:15:34+03:00,39.2686005,-6.8134999,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dodoma,2025-10-01 05:35:41+03:00,35.7355995,-6.1749001,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dodoma,2025-10-01 05:35:40+03:00,35.7355064,-6.1749012,-10.416944444444445
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dar es Salaam,2025-10-05 10:39:44+03:00,39.2686005,-6.8134999,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:13+03:00,35.73553,-6.17494,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:14+03:00,35.7355506,-6.1749657,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:11+03:00,35.7355995,-6.1749001,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:15+03:00,35.73556,-6.17495,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:10+03:00,35.73552,-6.17492,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:12+03:00,35.73557,-6.17498,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:16+03:00,35.73551,-6.17494,12.158888888888889
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:13:26+03:00,39.26853,-6.81356,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:11:39+03:00,39.26866,-6.81342,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:57+03:00,39.2686472,-6.8134176,9.393611111111111
