device_id,date,city,timestamp,longitude,latitude
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:46+03:00,39.2847,-6.79637
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:18:34+03:00,39.28474,-6.79641
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:37+03:00,39.2847,-6.79638
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dar es Salaam,2025-10-01 13:19:14+03:00,39.2847,-6.7963
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:59:58+03:00,35.75333,-6.18006
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:00+03:00,35.75322,-6.18008
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:14+03:00,35.75338,-6.18014
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:15+03:00,35.75328,-6.18017
79A3CA56-D1D0-4A8B-A671-DC38CA6778CC,2025-10-01,Dodoma,2025-10-01 08:58:23+03:00,35.75331,-6.18016
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 19:15:34+03:00,39.2686,-6.8135
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 16:00:42+03:00,39.2686005,-6.8134999
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 16:00:48+03:00,39.2686316,-6.813485
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dar es Salaam,2025-10-01 19:15:34+03:00,39.2686005,-6.8134999
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dodoma,2025-10-01 05:35:41+03:00,35.7355995,-6.1749001
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-01,Dodoma,2025-10-01 05:35:40+03:00,35.7355064,-6.1749012
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dar es Salaam,2025-10-05 10:39:44+03:00,39.2686005,-6.8134999
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:13+03:00,35.73553,-6.17494
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:14+03:00,35.7355506,-6.1749657
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:11+03:00,35.7355995,-6.1749001
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:15+03:00,35.73556,-6.17495
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:10+03:00,35.73552,-6.17492
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:12+03:00,35.73557,-6.17498
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-05,Dodoma,2025-10-05 22:49:16+03:00,35.73551,-6.17494
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:13:26+03:00,39.26853,-6.81356
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:11:39+03:00,39.26866,-6.81342
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:57+03:00,39.2686472,-6.8134176
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:59+03:00,39.2686005,-6.8134999
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:50+03:00,39.2686132,-6.8134033
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:33:04+03:00,35.7355,-6.17497
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:22+03:00,35.73541,-6.17496
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:59+03:00,35.7355995,-6.1749001
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:13+03:00,35.7355258,-6.1749746
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:18+03:00,35.73542,-6.1749
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:15+03:00,35.7356,-6.17488
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:48:20+03:00,35.73554,-6.1749
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:35:16+03:00,35.7356,-6.17496
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:56+03:00,35.7355541,-6.1749177
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:52+03:00,35.73551,-6.17492
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:46:48+03:00,35.73553,-6.17492
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:40+03:00,35.73568,-6.17487
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:09+03:00,35.7355995,-6.1749001
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:05+03:00,35.73558,-6.17492
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:12+03:00,35.73548,-6.17499
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:43+03:00,39.2847,-6.7963
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:40+03:00,39.28473,-6.79625
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:01+03:00,39.2847,-6.79625
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:29+03:00,39.2847,-6.7963
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:45+03:00,39.2847,-6.7963
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dar es Salaam,2025-10-04 21:56:33+03:00,39.2847,-6.7963
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:29:46+03:00,35.75334,-6.18017
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:55+03:00,35.7533,-6.18007
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:06+03:00,35.75331,-6.18015
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:46+03:00,35.75331,-6.18011
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:50+03:00,35.75338,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:32+03:00,35.75337,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:11+03:00,35.75331,-6.18018
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:53+03:00,35.7533,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:05+03:00,35.7533,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:02+03:00,35.75331,-6.18015
